//ID,Sprite_Name,Name,LV,HP,SP,Range1,ATK1,ATK2,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Speed,aDelay,aMotion,dMotion
// Monster Elementals
2114,EL_AGNI_S,Agni,100,4341,422,10,400,600,7,5,1,16,5,1,28,8,10,0,0,7,63,150,900,432,300
2115,EL_AGNI_M,Agni,100,4610,422,10,500,700,11,7,1,18,8,1,40,11,10,1,0,7,63,150,900,432,300
2116,EL_AGNI_L,Agni,100,4880,422,10,600,700,15,9,3,21,12,4,52,17,10,2,0,7,63,150,900,432,300
2117,EL_AQUA_S,Aqua,100,4341,422,10,400,600,18,11,5,33,17,6,60,23,10,0,0,7,61,150,900,432,300
2118,EL_AQUA_M,Aqua,100,4610,422,10,500,700,20,13,5,41,17,12,75,30,10,1,0,7,61,150,900,432,300
2119,EL_AQUA_L,Aqua,100,4880,422,10,600,700,21,15,11,46,24,22,83,37,10,2,0,7,61,150,900,432,300
2120,EL_VENTUS_S,Ventus,100,4341,422,10,400,600,22,16,14,55,27,26,91,44,10,0,0,7,64,150,900,432,300
2121,EL_VENTUS_M,Ventus,100,4610,422,10,500,700,24,18,19,65,27,27,103,49,10,1,0,7,64,150,900,432,300
2122,EL_VENTUS_L,Ventus,100,4880,422,10,600,700,25,20,20,71,27,28,110,51,10,2,0,7,64,150,900,432,300
2123,EL_TERA_S,Tera,100,4341,422,10,400,600,22,16,14,55,27,26,91,44,10,0,0,7,62,150,900,432,300
2124,EL_TERA_M,Tera,100,4610,422,10,500,700,24,18,19,65,27,27,103,49,10,0,1,7,62,150,900,432,300
2125,EL_TERA_L,Tera,100,4880,422,10,600,700,26,20,20,71,27,28,110,51,10,0,2,7,62,150,900,432,300
