// Monsters Additional Database
//
// Structure of Database :
// ID,Sprite_Name,kROName,iROName,LV,HP,SP,EXP,JEXP,Range1,ATK1,ATK2,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Mode,Speed,aDelay,aMotion,dMotion,MEXP,ExpPer,MVP1id,MVP1per,MVP2id,MVP2per,MVP3id,MVP3per,Drop1id,Drop1per,Drop2id,Drop2per,Drop3id,Drop3per,Drop4id,Drop4per,Drop5id,Drop5per,Drop6id,Drop6per,Drop7id,Drop7per,Drop8id,Drop8per,Drop9id,Drop9per,DropCardid,DropCardper

// Mechanic Fixed Autonomous Weapon Platforms - Note: DEF/MDEF settings is correct, but I need to figure out if DEF was changed in 2011 balance and a proper convert to pre-renewal DEF.
// HP for all FAW's will use a temporarly fixed amount that a level 150 Mechanic with 120 stats and using max level FAW will give to the summoned FAW's.
2042,SILVERSNIPER,Silver Sniper,Silver Sniper,100,17200,0,0,0,9,1000,1000,80,10,10,60,10,10,100,10,10,12,1,0,20,0x3394,2000,504,1020,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043,MAGICDECOY_FIRE,Magic Decoy Fire,Magic Decoy Fire,100,13700,0,0,0,7,150,150,16,60,10,10,10,100,50,10,10,12,1,0,23,0x3394,2000,504,1020,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2044,MAGICDECOY_WATER,Magic Decoy Water,Magic Decoy Water,100,13700,0,0,0,7,150,150,16,60,10,10,10,100,50,10,10,12,1,0,21,0x3394,2000,504,1020,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2045,MAGICDECOY_EARTH,Magic Decoy Earth,Magic Decoy Earth,100,13700,0,0,0,7,150,150,16,60,10,10,10,100,50,10,10,12,1,0,22,0x3394,2000,504,1020,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2046,MAGICDECOY_WIND,Magic Decoy Wind,Magic Decoy Wind,100,13700,0,0,0,7,150,150,16,60,10,10,10,100,50,10,10,12,1,0,24,0x3394,2000,504,1020,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

// Sorcerer Elemental Spirits
2114,EL_AGNI_S,Agni,Agni,100,5000,0,0,0,1,250,250,10,10,25,25,25,25,25,25,10,12,0,0,83,0x83,200,504,1020,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2115,EL_AGNI_M,Agni,Agni,100,7500,0,0,0,1,500,500,25,25,50,50,50,50,50,50,10,12,1,0,83,0x83,200,504,1020,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2116,EL_AGNI_L,Agni,Agni,100,10000,0,0,0,1,1000,1000,50,50,100,100,100,100,100,100,10,12,2,0,83,0x83,200,504,1020,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2117,EL_AQUA_S,Aqua,Aqua,100,5000,0,0,0,1,250,250,10,10,25,25,25,25,25,25,10,12,0,0,81,0x83,200,504,1020,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2118,EL_AQUA_M,Aqua,Aqua,100,7500,0,0,0,1,500,500,25,25,50,50,50,50,50,50,10,12,1,0,81,0x83,200,504,1020,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2119,EL_AQUA_L,Aqua,Aqua,100,10000,0,0,0,1,1000,1000,50,50,100,100,100,100,100,100,10,12,2,0,81,0x83,200,504,1020,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
